,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW_br,NW_ar,opt_C,opt_I,E1,E2,E3,E4,capex_h,produc_h,Fixed_Costs_h,Semi_Fixed_h,Gross_Fluid_h,Water_Injected_h,Producer_Well_h,WI_Well_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,1,0.5700000000000001,1,0,1,0,0,1,1,0,0,0,0,0.9,1,1,1,1,1,1,1,198897.1856,77363.6586,331884.8774,-1129.8516,330755.0259,0.0,130097.2873,7116184.7947,7196020.678,38.43673296751828,40.52721251647615,2.090479548957861,33.52025273275515,40.52721251647615,7.006959783721002,2031.0,2031.0,20.82,20.82,1.375,1.375,598603.3697,53751.5669,126304.9203,1155638.246,100717.5448,598603.3697,53751.5669,150525.9967,1234353.5039,100717.5448
1,1,50,1,0.5700000000000001,1,0,1,1,1,1,1,0,0,0,0,0.9,1,1,1,1,1,1,1,198897.1856,125874.5948,331884.8774,48782.3702,380667.2476,0.42438502450769167,261467.4344,7116184.7947,7533103.206,38.43673296751828,46.96998494645401,8.533251978935725,33.52025273275515,46.96998494645401,13.449732213698866,2032.0,2032.0,20.1494,20.1494,2.3821,2.3821,646858.2971,108002.6053,135289.2009,1309091.0797,94169.196,646858.2971,108002.6053,160118.5197,1389815.8657,94169.196
2,2,50,1,0.5700000000000001,1,1,1,1,0,1,1,0,0,0,0,0.9,1,1,1,1,1,1,1,198897.1856,183037.877,331884.8774,106199.8835,438084.7609,0.8630537257911299,346765.8307,7116184.7947,7621132.225,38.43673296751828,52.850379834283345,14.413646866765063,33.52025273275515,52.850379834283345,19.330127101528202,2033.0,2033.0,19.3818,19.3818,2.8058,2.8058,676064.0546,139632.1541,152437.1718,1436628.7542,86560.3111,676064.0546,139632.1541,177376.0684,1517717.3491,86560.3111
3,3,50,1,0.5700000000000001,1,1,1,1,1,1,1,0,0,0,0,0.9,1,1,1,1,1,1,1,198897.1856,182610.8506,331884.8774,105772.8571,437657.7345,0.4981889818937177,623158.52,7116184.7947,8304394.1941,38.43673296751828,59.43122453616801,20.994491568649725,33.52025273275515,59.43122453616801,25.910971803412867,2034.0,2034.0,19.4113,19.4113,4.4835,4.4835,727106.1965,223153.4077,143526.6463,1557490.0108,82195.7241,727106.1965,223153.4077,168465.5429,1638578.6057,82195.7241
4,4,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,0,0,0,0.9,1,1,1,1,1,1,1,198897.1856,345095.9611,331884.8774,268250.9843,600135.8617,0.9329293022907071,976502.5093,7116184.7947,8827695.1784,38.43673296751828,86.30656054506181,47.86982757754353,33.52025273275515,86.30656054506181,52.786307812306674,2040.0,2040.0,18.7145,18.7145,4.8324,4.8324,846895.9957,352791.6592,199009.1405,1990542.1473,47852.2053,846895.9957,352791.6592,223945.0442,2071620.7661,47852.2053
5,5,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,0,0,0.9,1,1,1,1,1,1,1,198897.1856,356103.0425,331884.8774,279258.0657,611142.9431,0.7171444660130196,1358062.4532,7116184.7947,9566874.2927,38.43673296751828,98.82759782967499,60.3908648621567,33.52025273275515,98.82759782967499,65.30734509691983,2042.0,2042.0,18.6929,18.6929,5.864,5.864,907063.468,474943.546,199475.5259,2178081.1385,41598.3706,907063.468,474943.546,224411.4297,2259159.7573,41598.3706
6,6,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,1,0,0.9,1,1,1,1,1,1,1,198897.1856,309640.4269,331884.8774,232795.4501,564680.3275,0.41329397756199693,2403550.2972,7116184.7947,11605475.9158,38.43673296751828,127.62613134557353,89.18939837805523,33.52025273275515,127.62613134557353,94.10587861281837,2046.0,2046.0,19.0361,19.0361,8.0314,8.0314,1026045.1613,721102.9609,203362.2073,2491600.1622,32552.2202,1026045.1613,721102.9609,228298.1111,2572678.781,32552.2202
7,7,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,198897.1856,232858.2026,331884.8774,156013.2258,487898.1032,0.2911946361770817,3087080.6634,7116184.7947,12821976.3894,38.43673296751828,143.93888070650013,105.50214773898183,33.52025273275515,143.93888070650013,110.41862797374496,2049.0,2049.0,19.8535,19.8535,9.154,9.154,1082628.0575,829354.6565,223620.632,2593855.4399,26496.7056,1082628.0575,829354.6565,248556.5358,2674934.0587,26496.7056
8,8,50,1,0.5700000000000001,1,0,1,0,0,1,1,0,0,0,0,1.1,1,1,1,1,1,1,1,198897.1856,70709.4489,331884.8774,-7784.0613,324100.8162,0.0,159007.7956,7116184.7947,7196020.678,38.43673296751828,40.52721251647615,2.090479548957861,33.52025273275515,40.52721251647615,7.006959783721002,2031.0,2031.0,20.82,20.82,1.6805,1.6805,598603.3697,65696.3596,121014.3374,1155638.246,100717.5448,598603.3697,65696.3596,145235.4137,1234353.5039,100717.5448
9,9,50,1,0.5700000000000001,1,0,1,1,1,1,1,0,0,0,0,1.1,1,1,1,1,1,1,1,198897.1856,111491.2298,331884.8774,34399.0051,366283.8825,0.16101730703474143,319571.3087,7116184.7947,7533103.206,38.43673296751828,46.96998494645401,8.533251978935725,33.52025273275515,46.96998494645401,13.449732213698866,2032.0,2032.0,20.1494,20.1494,2.9114,2.9114,646858.2971,132003.1843,125092.4777,1309091.0797,94748.7053,646858.2971,132003.1843,149921.7966,1389815.8657,94748.7053
