,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_C,opt_I,capex_h,produc_h,Fixed_Costs_h,Semi_Fixed_h,Gross_Fluid_h,Water_Injected_h,Producer_Well_h,WI_Well_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,1,0.5700000000000001,1,0,1,0,1,1,0.9,1,1,1,1,1,1,1,426952.545,73977.3714,486527.0957,132199.0594,618726.1551,3.0187965845678955,130097.2873,8674551.3609,8652322.286,62.498910891403604,71.34169642886009,8.842785537456482,57.01655028689454,65.08365288246884,8.067102595574296,2039.0,2039.0,21.1885,21.1885,0.8574,0.7822,742476.1054,53751.5669,205024.6695,1540518.1927,38335.9344,813868.0386,53751.5669,256633.4565,1781315.1517,38335.9344
1,1,50,1,0.5700000000000001,1,0,0,1,1,1,0.9,1,1,1,1,1,1,1,426952.545,42215.9071,486527.0957,96870.402,583397.4977,2.087327397547791,131370.1471,8674551.3609,8909568.9307,62.498910891403604,68.7373901405559,6.238479249152297,57.01655028689454,62.70779451419132,5.691244227296782,2038.0,2038.0,21.4816,21.4816,0.8986,0.8198,746381.5919,54251.0384,192855.7732,1506298.4138,43641.5583,818149.0526,54251.0384,242935.3586,1742374.5056,43641.5583
2,2,50,1,0.5700000000000001,1,0,1,1,1,1,0.9,1,1,1,1,1,1,1,426952.545,115268.1424,486527.0957,182384.1431,668911.2388,2.1182017244079097,261467.4344,8674551.3609,8989404.814,62.498910891403604,77.62169077122078,15.122779879817186,57.01655028689454,70.81277052813124,13.796220241236696,2039.0,2039.0,20.2916,20.2916,1.5815,1.4428,771871.0959,108002.6053,217533.4109,1679301.9435,39674.1439,846089.4705,108002.6053,272954.1597,1935631.6183,39674.1439
3,3,50,1,0.5700000000000001,1,1,1,0,1,1,0.9,1,1,1,1,1,1,1,426952.545,130390.0617,486527.0957,195942.4244,682469.5201,2.9214885335932217,215395.6836,8674551.3609,8740351.305,62.498910891403604,78.54724344118286,16.048332549779253,57.01655028689454,71.65713436739489,14.640584080500346,2040.0,2040.0,20.3646,20.3646,1.2884,1.1754,761414.409,85381.1157,225306.2402,1664295.2211,34850.8495,834627.3329,85381.1157,280063.35,1917392.1683,34850.8495
4,4,50,1,0.5700000000000001,1,1,0,1,1,1,0.9,1,1,1,1,1,1,1,426952.545,41612.51,486527.0957,101469.8874,587996.9831,0.8160821789901167,407762.8364,8674551.3609,9592830.8998,62.498910891403604,77.33326232873975,14.834351437336139,57.01655028689454,70.54964282621873,13.533092539324185,2039.0,2039.0,21.4023,21.4023,2.4789,2.2614,797549.7204,137772.292,185507.1522,1631781.7538,42387.5342,874237.1935,137772.292,237529.5485,1879923.5514,42387.5342
5,5,50,1,0.5700000000000001,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,426952.545,165943.1458,486527.0957,245549.3047,732076.4004,1.3862999585280977,623158.52,8674551.3609,9760695.8021,62.498910891403604,91.78685893453732,29.287948043133714,57.01655028689454,83.73538008063052,26.71882979373598,2040.0,2040.0,19.3803,19.3803,3.1823,2.9031,831160.9126,223153.4077,230012.1362,1915756.2693,38534.122,911080.2311,223153.4077,290373.8519,2195218.0132,38534.122
6,6,50,1,0.5700000000000001,1,0,1,0,1,1,1.1,1,1,1,1,1,1,1,426952.545,66460.5023,486527.0957,124686.0851,611213.1808,2.2881387201404086,159007.7956,8674551.3609,8652322.286,62.498910891403604,71.34169642886009,8.842785537456482,57.01655028689454,65.08365288246884,8.067102595574296,2039.0,2039.0,21.1885,21.1885,1.0479,0.956,742476.1054,65696.3596,200596.746,1540518.1927,38335.9344,813868.0386,65696.3596,252201.6382,1781315.1517,38335.9344
7,7,50,1,0.5700000000000001,1,0,0,1,1,1,1.1,1,1,1,1,1,1,1,426952.545,34398.6417,486527.0957,89069.5664,575596.6621,1.5210565169649999,160563.5131,8674551.3609,8909568.9307,62.498910891403604,68.7373901405559,6.238479249152297,57.01655028689454,62.70779451419132,5.691244227296782,2038.0,2038.0,21.4816,21.4816,1.0983,1.002,746381.5919,66306.8247,188290.1344,1506298.4138,43968.6762,818149.0526,66306.8247,238353.2901,1742374.5056,43968.6762
8,8,50,1,0.5700000000000001,1,0,1,1,1,1,1.1,1,1,1,1,1,1,1,426952.545,99807.8461,486527.0957,166982.2532,653509.3489,1.5490116285253572,319571.3087,8674551.3609,8989404.814,62.498910891403604,77.62169077122078,15.122779879817186,57.01655028689454,70.81277052813124,13.796220241236696,2039.0,2039.0,20.2916,20.2916,1.933,1.7634,771871.0959,132003.1843,208695.7484,1679301.9435,39971.5238,846089.4705,132003.1843,264058.0908,1935631.6183,39971.5238
9,9,50,1,0.5700000000000001,1,1,1,0,1,1,1.1,1,1,1,1,1,1,1,426952.545,118310.3096,486527.0957,183903.3953,670430.491,2.2084809661260043,263261.3911,8674551.3609,8740351.305,62.498910891403604,78.54724344118286,16.048332549779253,57.01655028689454,71.65713436739489,14.640584080500346,2040.0,2040.0,20.3646,20.3646,1.5747,1.4366,761414.409,104354.697,218412.411,1664295.2211,34850.8495,834627.3329,104354.697,273128.7979,1917392.1683,34850.8495
